Quan     Package             Link

12       4P-2.0             
1       C0603               
2       AVX-A               Cap tantalum 3216 22uF 10V https://www.aliexpress.com/item/Free-shipping-20pcs-A-3216-22uF-10V-SMD-tantalum-capacitor/32321482368.html?spm=2114.search0604.3.16.4fce2345r1fUiH&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=51dad8ac-3f51-446d-9495-dd30cb1d7dc9-2&algo_pvid=51dad8ac-3f51-446d-9495-dd30cb1d7dc9&priceBeautifyAB=0
6       C0603               
4      C0603                
1       F1206               https://www.aliexpress.com/item/100PCS-1206-0-5A-0-5-Amp-500mA-PolySwitch-SMT-SMD-Resettable-Fuse/32770507346.html?spm=2114.search0604.3.2.7fb47750oQXlBk&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=002b3b02-449f-4015-a384-ece19877731e-0&algo_pvid=002b3b02-449f-4015-a384-ece19877731e&priceBeautifyAB=0
1      MICRO-USB           https://www.aliexpress.com/item/MicroUSB-socket-miniUSB-connector-MK5P-5P-female-copper/32607464320.html?spm=2114.search0604.3.99.adf9b4207sTQJP&ws_ab_test=searchweb0_0%2Csearchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307%2Csearchweb201603_60%2CppcSwitch_5&algo_pvid=217caa2f-ac67-4247-8821-032d113cac4f&priceBeautifyAB=0&algo_expid=217caa2f-ac67-4247-8821-032d113cac4f-14
2        LED-0603           
5       R0603               
1      R0603                
1     4P-SMD-7X3.5X3.5H      Side SMD Tact Switch 3.5x7.0x3.5  https://www.aliexpress.com/item/1000pcs-on-tape-reel-Horizontal-Tact-Switch-SMD-Type-2-5x7-0mm-Height-3-5mm-right/32668946979.html?spm=2114.search0604.3.2.5f8878e6w6l7jB&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=bc9cebce-4ddb-4217-a447-7968eed2998c-0&algo_pvid=bc9cebce-4ddb-4217-a447-7968eed2998c&priceBeautifyAB=0
1      LED-0603             
1       SOT89               AMS1117-3.3V SOT89 https://www.aliexpress.com/item/100PCS-AMS1117-3-3V-AMS1117-LM1117-1117-3-3V-Voltage-Regulator-SOT-89/32813386234.html
1       SSOP20              https://www.aliexpress.com/item/Smd-CH340T-wch-usb-to-serial-232-chip-ssop-20-10pcs-lot/1739309190.html
1       MLF32X-W/HEAT       https://www.aliexpress.com/item/Free-Shipping-ATMEGA328P-MUR-ATMEGA328P-MU-MEGA328P-MEGA328P-MU-ATMEGA328P-MU-IC-MCU-8BIT-32KB-FLASH/32819228580.html?spm=2114.search0604.3.2.29794da4n8WAhW&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=19bc9bdd-9b31-4a8b-a489-6cdfbbf48312-0&algo_pvid=19bc9bdd-9b31-4a8b-a489-6cdfbbf48312&priceBeautifyAB=0
1       2P-SMD-5X3.2        Crystal SMD 12MHz 5032 https://www.aliexpress.com/item/NDK-NX5032GA-NX5032GB-12M-12MHZ-12-000MHZ-5-3-2mm-5032-2Pin-SMD-XTAL-Crystal/1974826195.html?spm=2114.search0604.3.9.2df3ea62ogKKDH&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=4b7bfbfd-088a-4c44-8dcb-41c7056e475d-1&algo_pvid=4b7bfbfd-088a-4c44-8dcb-41c7056e475d&priceBeautifyAB=0
1       2P-SMD-5X3.2        Crystal SMD 16MHz 5032 https://www.aliexpress.com/item/20PCS-16MHZ-5032-SMD-Passive-Crystal-16-000MHZ-16M-2P/32881190414.html?spm=2114.search0604.3.9.54f68073JoT5ID&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_10547_10059_10884_10548_10887_10696_100031_10084_10083_10103_10618_10307,searchweb201603_60,ppcSwitch_5&algo_expid=fd1fc6e2-c59a-49a1-b143-f8037632eca4-1&algo_pvid=fd1fc6e2-c59a-49a1-b143-f8037632eca4&priceBeautifyAB=0
